id,电影详情链接,图片链接,标题,标题2,评分,评价人数,一句话概述,其他信息
67,https://movie.douban.com/subject/26580232/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,看不见的客人,Contratiempo,8.8,897734,你以为你以为的就是你以为的。,导演:奥里奥尔·保罗OriolPaulo主演:马里奥·卡萨斯MarioCasas/阿...2016/西班牙/剧情犯罪悬疑惊悚
68,https://movie.douban.com/subject/25958717/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,海蒂和爷爷,Heidi,9.2,314726,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,导演:阿兰·葛斯彭纳AlainGsponer主演:阿努克·斯特芬AnukSteffen/...2015/德国瑞士南非/剧情冒险家庭
69,https://movie.douban.com/subject/1292402/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2448029416.jpg,西西里的美丽传说,Malèna,8.9,737274,美丽无罪。,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...2000/意大利美国/剧情战争情色
70,https://movie.douban.com/subject/1292849/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,拯救大兵瑞恩,Saving Private Ryan,9.0,487496,美利坚精神输出大片No1.,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...1998/美国/剧情历史战争
71,https://movie.douban.com/subject/1303021/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,小鞋子,بچههای آسمان,9.2,304648,奔跑的孩子是天使。,导演:马基德·马基迪MajidMajidi主演:法拉赫阿米尔·哈什米安AmirFa...1997/伊朗/剧情儿童家庭
72,https://movie.douban.com/subject/3008247/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,穿条纹睡衣的男孩,The Boy in the Striped Pajamas,9.1,378731,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,导演:马克·赫尔曼MarkHerman主演:阿萨·巴特菲尔德AsaButterfield...2008/英国美国/剧情战争
73,https://movie.douban.com/subject/1292220/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,情书,Love Letter,8.9,682029,暗恋的极致。,导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama/丰川悦司Ets...1995/日本/剧情爱情
74,https://movie.douban.com/subject/1294408/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,音乐之声,The Sound of Music,9.0,451424,用音乐化解仇恨，让歌声串起美好。,导演:罗伯特·怀斯RobertWise主演:朱莉·安德鲁斯JulieAndrews/克...1965/美国/剧情传记爱情歌舞
75,https://movie.douban.com/subject/3442220/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,海豚湾,The Cove,9.3,295206,海豚的微笑，是世界上最高明的伪装。,导演:路易·西霍尤斯LouiePsihoyos主演:RichardO'Barry/路易·西霍...2009/美国/纪录片
76,https://movie.douban.com/subject/1292262/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,美国往事,Once Upon a Time in America,9.2,316574,往事如烟，无处祭奠。,导演:赛尔乔·莱翁内SergioLeone主演:罗伯特·德尼罗RobertDeNiro...1984/美国意大利/犯罪剧情
